COUNTRY,ISO3,Earthquake,Flood,Tsunami,Tropical Cyclone,Drought,Natural,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Human,HAZARD & EXPOSURE,Development & Deprivation,Inequality,Aid Dependency,Socio-Economic Vulnerability,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Vulnerable Groups,VULNERABILITY,Disaster Risk Reduction,Governance,Institutional,Communication,Physical infrastructure,Access to health care,Infrastructure,LACK OF COPING CAPACITY,INFORM RISK
Nepal,NPL,9.9,10,0,0,2.1,6.8,5.4,0,3.8,5.5,5,4.2,1.9,4,5.5,1.7,4.8,0.1,3.7,2.7,4.2,4.1,5.8,6.9,6.3,6.5,6.2,6.6,6.4,6.4,5.2
Philippines,PHL,10,9.6,10,9.6,3.4,9.3,8.4,7,7,8.3,2.8,5,0.1,2.6,4.9,2.9,3.5,7.1,2.5,4.3,4.6,3.7,4.3,5.6,4.9,3.5,3.4,6.5,4.4,4.7,5.2
Mauritania,MRT,0,3.3,0,0,9.3,3.9,3.3,0,2.3,3.1,6.6,6.2,6.3,6.4,6.6,5.8,5.6,4.6,3.2,4.9,5.8,6.1,4.8,6.9,5.9,7.1,9.4,8.5,8.3,7.3,5.2
Guatemala,GTM,9,5.3,9.3,1.7,3.5,6.8,5.2,0,3.7,5.4,5,7.4,0.7,4.5,7.1,1.1,2.6,2.6,3.8,2.6,5.3,4.9,4.3,6.8,5.5,4.6,4.3,6,5,5.2,5.2
Ukraine,UKR,2.8,7.6,0,0,1.5,3,7.5,9,9,7,1.8,2.3,0.5,1.6,7.1,2.1,0.5,0,1.6,1.1,4.8,3.4,no estimate,6.9,6.9,3.4,3.1,4.9,3.8,5.6,5.1
Zimbabwe,ZWE,0.1,3.3,0,0.2,6,2.3,6.4,0,4.5,3.4,5.4,6.9,4.4,5.5,4.8,6.9,4.5,3,7.9,5.9,5.4,5.4,no estimate,7.6,7.6,5.8,6.4,6.1,6.1,6.9,5.1
Iran,IRN,10,7.5,7,0,4.8,7,7.4,0,5.2,6.2,3.1,5.1,0,2.8,7.8,0.3,1.2,0,1.1,0.7,5.2,4.1,4.4,6.9,5.7,4.2,3.8,5,4.3,5,5
Solomon Islands,SLB,5.4,0,9.1,0.9,2.5,4.7,0,0,0,2.6,7.1,no estimate,10,8,0,2.2,2.4,9.6,3.8,5.7,3.3,6.2,6.6,6.7,6.7,8.4,7.2,7.5,7.7,7.2,4.9
Côte d'Ivoire,CIV,0,5.3,0,0,0.6,1.5,5.6,0,3.9,2.8,7.7,6.4,5.8,6.9,5.6,6,5.6,0,4.2,4.3,5,6,7.1,7.2,7.2,6.7,7,7.6,7.1,7.1,4.9
Indonesia,IDN,8.4,8.7,10,0.7,2.3,7.5,9.2,0,6.4,7,2.4,5,0,2.5,4.5,2.1,3.3,0.4,3.6,2.4,3.5,3,3.8,6.1,5,4.3,5.3,8,5.9,5.4,4.9
